"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neurotocism","agreeableness","conscientiousness","openness"
53,"Male","US",4,5,5,1,2,1,5,5,5,4,5,4,3,4,5,"4, 5, 5","1, 2, 1","5 5 5","4 5 4","3 4 5"
46,"Female","US",2,3,3,2,4,4,3,4,3,4,3,4,3,3,2,"2, 3, 3","2, 4, 4","3 4 3","4 3 4","3 3 2"
14,"Female","PK",5,1,5,5,5,5,1,5,5,4,5,5,5,5,5,"5, 1, 5","5, 5, 5","1 5 5","4 5 5","5 5 5"
19,"Female","RO",2,2,3,5,4,5,5,4,3,3,4,2,5,5,5,"2, 2, 3","5, 4, 5","5 4 3","3 4 2","5 5 5"
25,"Female","US",3,3,3,3,3,3,5,5,5,3,5,3,1,3,3,"3, 3, 3","3, 3, 3","5 5 5","3 5 3","1 3 3"
31,"Female","US",1,2,1,1,4,4,2,4,3,2,4,5,1,5,3,"1, 2, 1","1, 4, 4","2 4 3","2 4 5","1 5 3"
20,"Female","US",5,5,5,2,2,2,5,5,5,2,3,3,5,4,4,"5, 5, 5","2, 2, 2","5 5 5","2 3 3","5 4 4"
23,"Male","IN",4,5,5,1,4,1,5,4,5,4,5,3,5,5,5,"4, 5, 5","1, 4, 1","5 4 5","4 5 3","5 5 5"
39,"Female","US",3,5,5,2,5,5,5,5,4,4,5,4,5,5,5,"3, 5, 5","2, 5, 5","5 5 4","4 5 4","5 5 5"
18,"Female","US",1,2,2,5,5,4,3,4,2,5,4,4,5,4,4,"1, 2, 2","5, 5, 4","3 4 2","5 4 4","5 4 4"
17,"Female","IT",1,2,1,5,5,5,4,4,3,3,3,3,5,3,5,"1, 2, 1","5, 5, 5","4 4 3","3 3 3","5 3 5"
15,"Male","IN",3,5,3,1,3,3,4,2,4,3,4,3,4,4,5,"3, 5, 3","1, 3, 3","4 2 4","3 4 3","4 4 5"
22,"Female","US",3,4,4,3,3,2,4,5,4,4,4,5,4,3,4,"3, 4, 4","3, 3, 2","4 5 4","4 4 5","4 3 4"
21,"Female","US",1,2,1,5,5,5,1,4,2,5,5,4,3,4,4,"1, 2, 1","5, 5, 5","1 4 2","5 5 4","3 4 4"
28,"Female","US",3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,"3, 3, 3","2, 4, 4","4 4 4","4 4 4","4 4 4"
21,"Male","US",2,2,3,2,2,2,2,2,2,4,4,4,5,4,5,"2, 2, 3","2, 2, 2","2 2 2","4 4 4","5 4 5"
19,"Female","FR",1,2,2,4,3,3,2,1,1,4,5,3,4,5,4,"1, 2, 2","4, 3, 3","2 1 1","4 5 3","4 5 4"
21,"Female","US",4,5,5,5,5,3,5,5,3,3,3,4,3,5,3,"4, 5, 5","5, 5, 3","5 5 3","3 3 4","3 5 3"
26,"Female","GB",2,4,1,4,5,4,2,2,3,4,5,5,4,5,2,"2, 4, 1","4, 5, 4","2 2 3","4 5 5","4 5 2"
26,"Female","US",2,3,3,4,3,2,3,4,4,1,5,2,5,5,4,"2, 3, 3","4, 3, 2","3 4 4","1 5 2","5 5 4"
19,"Female","LT",1,2,3,4,4,4,5,5,3,2,4,1,5,4,4,"1, 2, 3","4, 4, 4","5 5 3","2 4 1","5 4 4"
29,"Female","US",2,4,4,1,2,1,4,3,3,4,5,3,4,5,4,"2, 4, 4","1, 2, 1","4 3 3","4 5 3","4 5 4"
29,"Female","US",2,1,2,3,5,3,4,4,3,4,4,4,5,3,3,"2, 1, 2","3, 5, 3","4 4 3","4 4 4","5 3 3"
